預註冊閘門通過：DECISION_20260911_R529_CROSS_BANK_PREREG.md 授權 g_r529_lcb3m_a3
⚠ 分層：lcb3 只取 difficulty∈{medium} 的 135 題（切層在 offset/n 之前 ⇒ offset 數的是該層之內的第幾題）
20 題（lcb3　層=difficulty=medium　offset=40　題序 [40, 60)）　輸出 runs/g_r529_lcb3m_a3
── 量具驗證（先答已知答案）
   範圍＝bank：對 lcb3 全 189 題裡有參考解的驗，本塊 20 題另外算出貨閘門覆蓋（量具**不**套 --bank-filter，理由見原始碼註解）
   量具驗到的 12 題裡，落在 difficulty=medium 這一層的有 9 題（0 不擋——量具驗的是沙箱＋計分，不是那幾題自己；但這個數字要照實帶進收官）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
   本塊出貨閘門覆蓋 20/20
── 模型池：6 個 agent／1 個模型家族
  [OFF 17/20] 需求符合=True 接受=True 累計呼叫=17
  [CONFORM 17/20] 需求符合=True 接受=True 累計呼叫=18
  [HMIX 17/20] 需求符合=True 接受=True 累計呼叫=18
  [OFF 18/20] 需求符合=True 接受=True 累計呼叫=18
  [CONFORM 18/20] 需求符合=True 接受=True 累計呼叫=19
  [HMIX 18/20] 需求符合=True 接受=True 累計呼叫=19
  [OFF 19/20] 需求符合=True 接受=True 累計呼叫=19
  [CONFORM 19/20] 需求符合=True 接受=True 累計呼叫=20
  [HMIX 19/20] 需求符合=True 接受=True 累計呼叫=20
  [OFF 20/20] 需求符合=True 接受=True 累計呼叫=20
  [CONFORM 20/20] 需求符合=True 接受=True 累計呼叫=21
  [HMIX 20/20] 需求符合=True 接受=True 累計呼叫=21
── OFF: {"tasks": 20, "calls": 20, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 19, "demand_equals_output_rate": 0.95, "coverage": 1.0, "correct_delivery_rate": 0.95, "raw_final_accuracy": 0.95, "calls_per_task": 1.0, "calls_per_correct_delivery": 1.0526315789473684, "leaked": 1, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 20, "p50": 159563, "p95": 409327, "max": 574055}, "by_role": {"gen": {"n": 20, "p50": 159563, "p95": 409327, "max": 574055}}, "failed_attempts": 0}, "wall_s": 3841.9, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── CONFORM: {"tasks": 20, "calls": 21, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 20, "demand_equals_output_rate": 1.0, "coverage": 1.0, "correct_delivery_rate": 1.0, "raw_final_accuracy": 1.0, "calls_per_task": 1.05, "calls_per_correct_delivery": 1.05, "leaked": 0, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 21, "p50": 158997, "p95": 657923, "max": 758837}, "by_role": {"gen": {"n": 21, "p50": 158997, "p95": 657923, "max": 758837}}, "failed_attempts": 2}, "wall_s": 6999.7, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HMIX: {"tasks": 20, "calls": 21, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 20, "demand_equals_output_rate": 1.0, "coverage": 1.0, "correct_delivery_rate": 1.0, "raw_final_accuracy": 1.0, "calls_per_task": 1.05, "calls_per_correct_delivery": 1.05, "leaked": 0, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 22, "p50": 244622, "p95": 430726, "max": 564944}, "by_role": {"gen": {"n": 21, "p50": 267689, "p95": 430726, "max": 564944}, "wire_probe": {"n": 1, "p50": 10732, "p95": 10732, "max": 10732}}, "failed_attempts": 1}, "wall_s": 6446.5, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}

寫出 runs/g_r529_lcb3m_a3/summary.json
⚠ 這是待驗證的宣稱不是結果——OFF5 沒跑贏之前不能說機制有效。
